date,taiex,tx_close,z_oos,sig_dir,position
2024/10/01,22390.39,22391.0,-1.6619,1,-1
2024/10/04,22302.71,22284.0,-0.0969,1,0
2024/10/07,22702.56,22779.0,0.2167,1,0
2024/10/08,22611.39,22575.0,-1.3240,1,-1
2024/10/09,22659.08,22702.0,0.4588,1,0
2024/10/11,22901.64,22912.0,-0.7740,1,0
2024/10/14,22975.29,23008.0,-0.2916,1,0
2024/10/15,23292.04,23225.0,-0.6515,1,0
2024/10/16,23010.98,22986.0,0.8772,1,0
2024/10/17,23053.84,23256.0,0.2503,1,0
2024/10/18,23487.27,23657.0,-3.1751,1,-1
2024/10/21,23542.53,23567.0,-2.7240,1,-1
2024/10/22,23535.43,23633.0,-0.5106,1,-1
2024/10/23,23334.76,23406.0,-1.6266,1,-1
2024/10/24,23192.52,23304.0,-1.2038,1,-1
2024/10/25,23348.45,23481.0,-1.6859,1,0
2024/10/28,23198.07,23326.0,-2.0117,1,-1
2024/10/29,22926.59,22976.0,-1.9290,1,-1
2024/10/30,22820.43,22904.0,-0.7450,1,-1
2024/11/01,22780.08,22753.0,-1.2383,1,-1
2024/11/04,22965.39,23041.0,0.4212,1,0
2024/11/05,23106.79,23135.0,-1.0742,1,-1
2024/11/06,23217.38,23324.0,-0.4066,1,0
2024/11/07,23408.82,23532.0,-1.5454,1,-1
2024/11/08,23553.89,23781.0,-1.8026,1,-1
2024/11/11,23529.64,23573.0,-2.9977,1,-1
2024/11/12,22981.77,22869.0,-0.4448,1,0
2024/11/13,22860.23,22783.0,1.7347,1,1
2024/11/14,22715.38,22684.0,1.2434,1,1
2024/11/15,22742.77,22759.0,0.6093,1,1
2024/11/18,22546.54,22574.0,-0.1365,1,0
2024/11/19,22848.8,22850.0,-0.2728,1,0
2024/11/20,22688.36,22686.0,0.0592,1,0
2024/11/21,22555.66,22573.0,0.1213,1,0
2024/11/22,22904.32,23038.0,-0.1357,1,0
2024/11/25,22948.37,23066.0,-1.7205,1,-1
2024/11/26,22678.76,22636.0,-1.5073,1,-1
2024/11/27,22334.78,22347.0,0.6829,1,-1
2024/11/28,22298.9,22337.0,-0.0312,1,0
2024/11/29,22262.5,22313.0,-0.3779,1,0
2024/12/02,22736.93,22827.0,-0.5264,1,0
2024/12/03,23027.46,23112.0,-1.1019,1,-1
2024/12/04,23255.33,23294.0,-1.0562,1,-1
2024/12/05,23267.94,23251.0,-0.4647,1,0
2024/12/06,23193.27,23179.0,0.2781,1,0
2024/12/09,23273.25,23249.0,0.2661,1,0
2024/12/10,23125.08,23090.0,0.3910,1,0
2024/12/11,22903.63,22848.0,0.5496,1,0
2024/12/12,23046.8,23107.0,0.8448,1,0
2024/12/13,23020.48,22986.0,-0.7104,1,0
2024/12/16,23039.9,22961.0,0.5469,1,0
2024/12/17,23018.01,23031.0,1.1351,1,1
2024/12/18,23168.67,23105.0,-0.0834,1,0
2024/12/19,22932.25,22849.0,0.9205,1,0
2024/12/20,22510.25,22635.0,1.2031,1,1
2024/12/23,23104.54,23242.0,-1.5120,1,1
2024/12/24,23120.24,23216.0,-1.7279,1,1
2024/12/25,23220.13,23329.0,-1.1825,1,1
2024/12/26,23246.94,23326.0,-1.3627,1,1
2024/12/27,23275.68,23372.0,-0.9741,1,0
2024/12/30,23190.2,23177.0,-1.1136,1,-1
2024/12/31,23035.1,23041.0,0.3036,1,0
2025/01/02,22832.06,22842.0,0.0642,1,0
2025/01/03,22908.3,22977.0,0.0215,1,0
2025/01/06,23547.71,23609.0,-0.7403,1,0
2025/01/07,23651.27,23752.0,-0.6392,1,0
2025/01/08,23407.33,23450.0,-1.1524,1,-1
2025/01/09,23081.13,23105.0,-0.3959,1,0
2025/01/10,23011.86,23049.0,-0.1480,1,0
2025/01/13,22488.33,22535.0,-0.3195,1,0
2025/01/14,22797.52,22750.0,-0.4316,1,0
2025/01/15,22514.57,22519.0,0.8304,1,0
2025/01/16,23025.1,23031.0,0.1252,1,0
2025/01/17,23148.08,23190.0,0.1475,1,0
2025/01/20,23266.82,23346.0,-0.3154,1,0
2025/01/21,23300.01,23365.0,-0.7694,-1,0
2025/01/22,23525.41,23698.0,-0.5763,-1,0
2025/02/03,22694.71,22598.0,-1.9699,-1,1
2025/02/04,22793.96,22822.0,1.4785,-1,1
2025/02/05,23161.58,23133.0,-0.1611,-1,0
2025/02/06,23316.6,23290.0,0.6803,1,0
2025/02/07,23478.27,23431.0,0.6901,1,0
2025/02/10,23252.14,23246.0,1.0014,1,1
2025/02/11,23384.05,23335.0,0.4043,1,0
2025/02/12,23289.75,23315.0,1.0031,1,1
2025/02/13,23399.41,23399.0,-0.0359,1,0
2025/02/14,23152.61,23179.0,0.3333,1,0
2025/02/17,23505.33,23504.0,-0.0848,1,0
2025/02/18,23666.11,23649.0,0.3716,1,0
2025/02/19,23604.08,23608.0,0.6216,1,0
2025/02/20,23487.46,23538.0,0.2666,1,0
2025/02/21,23730.25,23745.0,-0.3828,1,0
2025/02/24,23565.31,23558.0,0.1486,1,0
2025/02/25,23285.72,23299.0,0.4087,1,0
2025/02/26,23402.55,23421.0,0.0730,1,0
2025/02/27,23053.18,23196.0,0.1466,-1,0
2025/03/03,22756.25,22718.0,-1.7096,-1,1
2025/03/04,22596.88,22588.0,0.6557,-1,1
2025/03/05,22871.9,22888.0,0.1852,-1,0
2025/03/06,22715.43,22763.0,-0.0431,-1,0
2025/03/07,22576.07,22520.0,-0.5763,-1,0
2025/03/10,22459.15,22446.0,0.8164,-1,0
2025/03/11,22071.09,22031.0,0.1668,-1,0
2025/03/12,22278.36,22232.0,0.3821,-1,0
2025/03/13,21961.68,21920.0,0.5563,-1,0
2025/03/14,21968.05,21961.0,0.3477,-1,0
2025/03/17,22118.63,22158.0,-0.1334,-1,0
2025/03/18,22271.67,22230.0,-0.7209,-1,0
2025/03/19,21960.83,21964.0,0.4728,-1,0
2025/03/20,22377.26,22365.0,-0.2791,-1,0
2025/03/21,22209.1,22177.0,0.1025,1,0
2025/03/24,22106.64,22160.0,0.3100,1,0
2025/03/25,22273.19,22298.0,-0.9250,1,0
2025/03/26,22260.29,22305.0,-0.4578,1,0
2025/03/27,21951.76,21968.0,-0.7409,1,0
2025/03/28,21602.89,21603.0,-0.4581,1,0
2025/03/31,20695.9,20769.0,-0.3859,1,0
2025/04/01,21280.17,21181.0,-1.8449,1,-1
2025/04/02,21298.22,21304.0,0.8898,1,-1
2025/04/07,19232.35,19167.0,-0.6059,1,-1
2025/04/08,18459.95,18190.0,-0.1339,1,0
2025/04/09,17391.76,17204.0,2.5123,1,1
2025/04/10,19000.03,18902.0,0.9647,1,1
2025/04/11,19528.77,19524.0,0.2505,1,0
2025/04/14,19513.09,19491.0,-0.8936,1,0
2025/04/15,19857.67,19798.0,-0.8767,1,0
2025/04/16,19468.0,19548.0,-0.1975,1,0
2025/04/17,19338.73,19369.0,-2.3448,1,-1
2025/04/18,19395.03,19330.0,-1.6936,1,-1
2025/04/21,19106.2,19099.0,-0.3171,1,0
2025/04/22,18793.43,18797.0,-0.7462,1,0
2025/04/23,19639.14,19554.0,-0.9867,1,0
2025/04/24,19478.81,19466.0,0.4959,1,0
2025/04/25,19872.73,19873.0,-0.5606,1,0
2025/04/28,20034.41,19965.0,-0.6300,1,0
2025/04/29,20232.63,20154.0,0.3857,1,0
2025/04/30,20235.03,20149.0,0.5739,1,0
2025/05/02,20787.64,20677.0,0.6787,1,0
2025/05/05,20532.99,20404.0,1.1880,1,1
2025/05/06,20522.59,20337.0,1.3708,1,1
2025/05/07,20546.49,20381.0,2.0469,1,1
2025/05/08,20543.4,20575.0,1.7719,1,1
2025/05/09,20915.04,20848.0,-1.0058,1,1
2025/05/12,21129.54,21066.0,0.5108,1,0
2025/05/13,21330.14,21360.0,0.5347,1,0
2025/05/14,21782.87,21768.0,-0.7255,1,0
2025/05/15,21730.25,21694.0,0.1420,1,0
2025/05/16,21843.69,21821.0,0.4585,1,0
2025/05/19,21523.83,21538.0,0.2870,1,0
2025/05/20,21526.03,21539.0,-0.4085,1,0
2025/05/21,21803.91,21849.0,-0.3787,1,0
2025/05/22,21670.96,21503.0,-0.7836,1,0
2025/05/23,21652.24,21470.0,2.5408,1,1
2025/05/26,21536.57,21385.0,2.7600,1,1
2025/05/27,21336.54,21233.0,2.2311,1,1
2025/05/28,21357.72,21252.0,1.2792,1,1
2025/05/29,21347.3,21320.0,1.3203,1,1
2025/06/02,21002.71,20866.0,0.1314,1,0
2025/06/03,21126.93,20971.0,1.6522,1,1
2025/06/04,21618.09,21482.0,1.9902,1,1
2025/06/05,21674.43,21553.0,1.7886,1,1
2025/06/06,21660.66,21578.0,1.5946,1,1
2025/06/09,21790.29,21727.0,1.0184,1,1
2025/06/10,22242.14,22113.0,0.7834,1,0
2025/06/11,22470.1,22351.0,1.9281,1,1
2025/06/12,22287.82,22252.0,1.8091,1,1
2025/06/13,22072.95,21940.0,0.5388,1,1
2025/06/16,22049.9,22032.0,1.8641,1,1
2025/06/17,22211.59,22159.0,0.1929,1,0
2025/06/18,22356.73,22308.0,0.7533,1,0
2025/06/19,22003.5,21704.0,0.7218,1,0
2025/06/20,22045.74,21653.0,4.1997,1,1
2025/06/23,21732.02,21473.0,5.5592,1,1
2025/06/24,22188.76,21959.0,3.5127,1,1
2025/06/25,22430.61,22159.0,3.2658,1,1
2025/06/26,22492.34,22117.0,3.1022,1,1
2025/06/27,22580.08,22121.0,4.3294,1,0
2025/06/30,22256.02,22145.0,5.3281,1,1
2025/07/01,22553.72,22353.0,1.1857,1,1
2025/07/02,22577.74,22396.0,2.2983,1,1
2025/07/03,22712.97,22675.0,1.7257,1,1
2025/07/04,22547.5,22435.0,0.2716,1,0
2025/07/07,22428.72,22336.0,1.0094,1,1
2025/07/08,22362.27,22251.0,0.7863,1,1
2025/07/09,22527.01,22434.0,0.9657,1,1
2025/07/10,22693.25,22611.0,0.7800,1,1
2025/07/11,22751.03,22764.0,0.7005,1,1
2025/07/14,22614.97,22551.0,-0.2652,1,0
2025/07/15,22835.94,22810.0,0.4985,1,0
2025/07/16,23042.9,23047.0,0.1495,1,0
2025/07/17,23113.28,23148.0,-0.1761,1,0
2025/07/18,23383.13,23262.0,-0.4812,1,0
2025/07/21,23340.56,23228.0,1.1570,1,1
2025/07/22,22987.92,22990.0,1.0631,1,1
2025/07/23,23318.67,23186.0,-0.1629,1,0
2025/07/24,23373.73,23310.0,1.1875,1,1
2025/07/25,23364.38,23238.0,0.4843,1,0
2025/07/28,23412.98,23392.0,1.1276,1,1
2025/07/29,23201.52,23163.0,0.0488,1,0
2025/07/30,23461.72,23361.0,0.2071,1,0
2025/07/31,23542.52,23589.0,0.8051,1,0
2025/08/01,23434.38,23344.0,-0.7118,1,0
2025/08/04,23378.94,23260.0,0.6960,1,0
2025/08/05,23660.59,23575.0,0.9872,1,0
2025/08/06,23447.36,23425.0,0.6641,1,0
2025/08/07,24003.77,23997.0,-0.0485,1,0
2025/08/08,24021.26,23949.0,-0.1661,1,0
2025/08/11,24135.5,24162.0,0.5344,1,0
2025/08/12,24158.36,24135.0,-0.5096,1,0
2025/08/13,24370.02,24347.0,0.0246,1,0
2025/08/14,24238.1,24250.0,0.0611,1,0
2025/08/15,24334.48,24312.0,-0.3265,1,0
2025/08/18,24482.52,24426.0,0.0518,1,0
2025/08/19,24353.5,24342.0,0.4315,1,0
2025/08/20,23625.44,23637.0,-0.0641,1,0
2025/08/21,23962.13,23852.0,-0.4199,1,0
2025/08/22,23764.47,23750.0,0.9261,1,0
2025/08/25,24277.38,24251.0,-0.1261,1,0
2025/08/26,24305.1,24253.0,0.0476,1,0
2025/08/27,24519.9,24463.0,0.3283,1,0
2025/08/28,24236.45,24228.0,0.3208,1,0
2025/08/29,24233.1,24267.0,-0.2247,1,0
2025/09/01,24071.73,24008.0,-0.6857,1,0
2025/09/02,24016.78,23965.0,0.3662,1,0
2025/09/03,24100.3,23997.0,0.2326,1,0
2025/09/04,24179.85,24132.0,0.7498,1,0
2025/09/05,24494.58,24419.0,0.1470,1,0
2025/09/08,24547.38,24551.0,0.4656,1,0
2025/09/09,24855.18,24802.0,-0.3983,1,0
2025/09/10,25192.59,25178.0,0.2379,1,0
2025/09/11,25215.71,25240.0,-0.0935,1,0
2025/09/12,25474.64,25459.0,-0.5203,1,0
2025/09/15,25357.16,25353.0,-0.0595,1,0
2025/09/16,25629.64,25629.0,-0.1954,1,0
2025/09/17,25438.25,25433.0,-0.2126,1,0
2025/09/18,25769.36,25709.0,-0.1849,1,0
2025/09/19,25578.37,25671.0,0.4550,1,0
2025/09/22,25880.6,25891.0,-1.2647,1,-1
2025/09/23,26247.37,26273.0,-0.3248,1,0
2025/09/24,26196.73,26237.0,-0.4659,1,0
2025/09/25,26023.85,26097.0,-0.5235,1,0
2025/09/26,25580.32,25669.0,-0.9253,1,0
2025/09/30,25820.54,25954.0,-1.1609,1,-1
2025/10/01,25982.91,26045.0,-1.6478,1,-1
2025/10/02,26378.39,26431.0,-0.8027,1,-1
2025/10/03,26761.06,26745.0,-0.4455,1,0
2025/10/07,27211.95,27322.0,0.4146,1,0
2025/10/08,27063.68,27093.0,-0.9602,1,0
2025/10/09,27301.92,27335.0,-0.0552,1,0
2025/10/13,26923.42,26904.0,-0.0563,1,0
2025/10/14,26793.15,26718.0,0.3622,1,0
2025/10/15,27275.71,27156.0,0.9913,1,0
2025/10/16,27647.87,27822.0,1.5856,1,1
2025/10/17,27302.37,27328.0,-1.7804,1,1
2025/10/20,27688.63,27783.0,-0.1038,1,0
2025/10/21,27752.41,27833.0,-0.6368,1,0
2025/10/22,27648.91,27704.0,-0.4651,1,0
2025/10/23,27532.26,27556.0,-0.1915,1,0
2025/10/27,27993.63,28225.0,0.1469,1,0
2025/10/28,27949.11,28002.0,-2.1566,1,-1
2025/10/29,28294.74,28412.0,-0.0519,1,0
2025/10/30,28287.53,28398.0,-0.7270,1,0
2025/10/31,28233.35,28431.0,-0.6495,1,0
2025/11/03,28334.59,28340.0,-1.6755,1,-1
2025/11/04,28116.56,28117.0,0.5830,1,-1
2025/11/05,27717.06,27805.0,0.5432,1,-1
2025/11/06,27899.45,28034.0,-0.5448,1,-1
2025/11/07,27651.41,27730.0,-1.0447,1,-1
2025/11/10,27869.51,28016.0,-0.4503,1,0
2025/11/11,27784.95,27780.0,-1.1882,1,-1
2025/11/12,27947.09,28054.0,0.6023,1,-1
2025/11/13,27903.56,27980.0,-0.6443,1,-1
2025/11/14,27397.5,27401.0,-0.3046,1,0
2025/11/17,27447.31,27479.0,0.4225,1,0
2025/11/18,26756.12,26805.0,0.1102,1,0
2025/11/19,26580.12,26615.0,-0.2685,1,0
2025/11/20,27426.36,27482.0,-0.1445,1,0
2025/11/21,26434.94,26486.0,-0.2062,1,0
2025/11/24,26504.24,26615.0,-0.3607,1,0
2025/11/25,26912.17,26933.0,-1.0321,1,-1
2025/11/26,27409.54,27329.0,0.1060,1,0
2025/11/27,27554.53,27583.0,1.3998,1,1
2025/11/28,27626.48,27744.0,0.1597,1,0
2025/12/01,27342.53,27404.0,-0.8637,1,0
2025/12/02,27564.27,27561.0,-0.2726,1,0
2025/12/03,27793.04,27758.0,0.5227,1,0
2025/12/04,27795.71,27799.0,0.9416,1,0
2025/12/05,27980.89,28016.0,0.4981,1,0
2025/12/08,28303.78,28286.0,0.1705,1,0
2025/12/09,28182.6,28220.0,0.8551,1,0
2025/12/10,28400.73,28398.0,0.1483,1,0
2025/12/11,28024.75,28110.0,0.6629,1,0
2025/12/12,28198.02,28292.0,-0.4427,1,0
2025/12/15,27866.94,27907.0,-0.5058,1,0
2025/12/16,27536.66,27624.0,0.0476,1,0
2025/12/17,27525.17,27483.0,-0.5589,1,0
2025/12/18,27468.53,27591.0,0.9635,1,0
2025/12/19,27696.35,27894.0,-0.9888,1,0
2025/12/22,28149.64,28341.0,-1.8201,1,-1
2025/12/23,28310.47,28413.0,-1.6384,1,-1
2025/12/24,28371.98,28472.0,-0.4255,-1,0
2025/12/26,28556.02,28673.0,-0.3796,-1,0
2025/12/29,28810.89,28950.0,-0.5294,-1,0
2025/12/30,28707.13,28881.0,-0.7209,-1,0
2025/12/31,28963.6,29016.0,-1.1568,-1,1
2026/01/02,29349.81,29473.0,0.5775,-1,1
2026/01/05,30105.04,30313.0,-0.1307,-1,0
2026/01/06,30576.3,30617.0,-0.8848,-1,0
2026/01/07,30435.47,30516.0,1.2325,-1,-1
2026/01/08,30360.55,30458.0,0.7191,-1,-1
2026/01/09,30288.96,30456.0,0.5180,-1,-1
2026/01/12,30567.29,30701.0,-0.3628,-1,0
2026/01/13,30707.22,30874.0,0.1436,-1,0
2026/01/14,30941.78,30982.0,-0.2147,-1,0
2026/01/15,30810.58,31050.0,1.4234,-1,-1
2026/01/16,31408.7,31474.0,-1.0625,-1,-1
2026/01/19,31639.29,31669.0,1.3743,-1,-1
2026/01/20,31759.99,31672.0,1.9129,-1,-1
2026/01/21,31246.37,31245.0,3.4541,-1,-1
2026/01/22,31746.08,31857.0,2.1610,-1,0
2026/01/23,31961.51,32153.0,0.5612,-1,0
2026/01/26,32064.52,32144.0,-0.3498,-1,0
2026/01/27,32317.92,32509.0,1.0444,-1,-1
2026/01/28,32803.82,32927.0,-0.2318,-1,0
2026/01/29,32536.27,32777.0,0.7478,-1,0
2026/01/30,32063.75,32247.0,-0.5567,-1,0
2026/02/02,31624.03,31610.0,-0.0176,-1,0
2026/02/03,32195.36,32261.0,2.2559,-1,-1
2026/02/04,32289.81,32423.0,1.4788,-1,-1
2026/02/05,31801.27,31907.0,0.6802,-1,-1
2026/02/06,31782.92,31807.0,0.5949,-1,-1
2026/02/09,32404.62,32651.0,1.6047,-1,-1
2026/02/10,33072.97,33307.0,-0.9564,-1,0
2026/02/11,33605.71,33691.0,-0.5828,-1,0
2026/02/23,33773.26,33840.0,1.4431,-1,-1
2026/02/24,34700.82,34827.0,1.6249,-1,-1
2026/02/25,35413.07,35490.0,1.1865,-1,-1
2026/02/26,35414.49,35604.0,2.0188,-1,-1
2026/03/02,35095.09,35232.0,0.6324,-1,-1
2026/03/03,34323.65,34325.0,1.1792,-1,0
2026/03/04,32828.88,32834.0,2.2292,-1,-1
2026/03/05,33672.94,33639.0,1.7742,-1,-1
2026/03/06,33599.54,33704.0,2.4732,-1,-1
2026/03/09,32110.42,31786.0,0.7965,-1,-1
2026/03/10,32771.87,32696.0,5.5214,-1,-1
2026/03/11,34114.19,33985.0,2.7279,-1,0
2026/03/12,33581.86,33530.0,3.7342,-1,-1
2026/03/13,33400.32,33315.0,2.6627,-1,-1
2026/03/16,33342.51,33250.0,3.0134,-1,-1
2026/03/17,33836.57,33795.0,3.0836,-1,-1
2026/03/18,34348.58,34263.0,1.1530,-1,-1
2026/03/19,33689.68,33553.0,1.6277,-1,0
2026/03/20,33543.88,33559.0,2.0582,-1,-1
2026/03/23,32722.5,32532.0,0.5769,-1,-1
2026/03/24,32612.24,32771.0,2.4853,-1,-1
2026/03/25,33439.11,33638.0,-0.9805,-1,-1
2026/03/26,33337.62,33440.0,-1.3149,-1,-1
2026/03/27,33112.59,33120.0,-0.3500,-1,0
2026/03/30,32518.16,32468.0,0.5888,-1,0
2026/03/31,31722.99,31979.0,1.1189,-1,-1
2026/04/01,33174.82,33402.0,-2.0833,-1,-1
2026/04/02,32572.43,32487.0,-1.5935,-1,-1
2026/04/07,33229.82,33159.0,1.8248,-1,-1
2026/04/08,34761.38,34996.0,1.7380,-1,-1
2026/04/09,34861.16,34932.0,-1.4927,-1,0
2026/04/10,35417.83,35567.0,0.2238,-1,0
2026/04/13,35457.29,35457.0,-0.5785,-1,0
2026/04/14,36296.12,36381.0,1.0558,-1,-1
2026/04/15,36722.14,36643.0,0.2053,-1,0
2026/04/16,37132.02,37645.0,2.0346,-1,-1
2026/04/17,36804.34,37083.0,-4.1212,-1,-1
2026/04/20,36958.8,37254.0,-1.7489,-1,-1
2026/04/21,37605.11,38048.0,-1.9050,-1,-1
2026/04/22,37878.47,38206.0,-3.3623,-1,-1
2026/04/23,37714.15,37875.0,-2.1569,-1,0
2026/04/24,38932.4,39224.0,-0.2002,-1,0
2026/04/27,39616.63,39888.0,-1.3628,-1,1
2026/04/28,39521.73,39749.0,-1.0927,-1,1
2026/04/29,39303.5,39490.0,-0.6680,-1,1
2026/04/30,38926.63,39360.0,-0.2888,-1,0
2026/05/04,40705.14,41031.0,-2.7603,-1,1
2026/05/05,40769.29,41035.0,-1.5172,-1,1
2026/05/06,41138.85,41503.0,-0.9179,-1,1
2026/05/07,41933.78,42340.0,-1.8497,-1,1
2026/05/08,41603.94,41937.0,-2.1822,-1,1
2026/05/11,41790.06,41945.0,-1.1291,-1,0
2026/05/12,41898.32,41695.0,0.5879,-1,0
2026/05/13,41374.5,41469.0,4.0099,-1,-1
2026/05/14,41751.75,41602.0,1.1141,-1,-1
2026/05/15,41172.36,41012.0,3.4829,-1,-1
2026/05/18,40891.82,40807.0,2.3749,-1,-1
2026/05/19,40175.56,40248.0,1.7296,-1,-1
2026/05/20,40020.82,40078.0,0.3807,-1,0
2026/05/21,41368.21,41473.0,0.5022,-1,0
2026/05/22,42267.97,42442.0,0.1597,-1,0
2026/05/25,43644.4,43877.0,-0.3256,-1,0
2026/05/26,43525.37,43893.0,-0.7506,-1,0
2026/05/27,44256.8,44798.0,-1.8855,-1,1
